timestamp,Total Value,datetime
1738368000000.0,10000.0,2025-02-01 00:00:00
1738368300000.0,10000.0,2025-02-01 00:05:00
1738368600000.0,10000.0,2025-02-01 00:10:00
1738368900000.0,10000.0,2025-02-01 00:15:00
1738369200000.0,10000.0,2025-02-01 00:20:00
1738369500000.0,10000.0,2025-02-01 00:25:00
1738369800000.0,10000.0,2025-02-01 00:30:00
1738370100000.0,10000.0,2025-02-01 00:35:00
1738370400000.0,10000.0,2025-02-01 00:40:00
1738370700000.0,10000.0,2025-02-01 00:45:00
1738371000000.0,10000.0,2025-02-01 00:50:00
1738371300000.0,10000.0,2025-02-01 00:55:00
1738371600000.0,10000.0,2025-02-01 01:00:00
1738371900000.0,10000.0,2025-02-01 01:05:00
1738372200000.0,10000.0,2025-02-01 01:10:00
1738372500000.0,10000.0,2025-02-01 01:15:00
1738372800000.0,10000.0,2025-02-01 01:20:00
1738373100000.0,10000.0,2025-02-01 01:25:00
1738373400000.0,10000.0,2025-02-01 01:30:00
1738373700000.0,10000.0,2025-02-01 01:35:00
1738374000000.0,10000.0,2025-02-01 01:40:00
1738374300000.0,10000.0,2025-02-01 01:45:00
1738374600000.0,10000.0,2025-02-01 01:50:00
1738374900000.0,10000.0,2025-02-01 01:55:00
1738375200000.0,10000.0,2025-02-01 02:00:00
1738375500000.0,10000.0,2025-02-01 02:05:00
1738375800000.0,10000.0,2025-02-01 02:10:00
1738376100000.0,10000.0,2025-02-01 02:15:00
1738376400000.0,10000.0,2025-02-01 02:20:00
1738376700000.0,10000.0,2025-02-01 02:25:00
1738377000000.0,10000.0,2025-02-01 02:30:00
1738377300000.0,10000.0,2025-02-01 02:35:00
1738377600000.0,10000.0,2025-02-01 02:40:00
1738377900000.0,10000.0,2025-02-01 02:45:00
1738378200000.0,10000.0,2025-02-01 02:50:00
1738378500000.0,10000.0,2025-02-01 02:55:00
1738378800000.0,10000.0,2025-02-01 03:00:00
1738379100000.0,10000.0,2025-02-01 03:05:00
1738379400000.0,10000.0,2025-02-01 03:10:00
1738379700000.0,10000.0,2025-02-01 03:15:00
1738380000000.0,10000.0,2025-02-01 03:20:00
1738380300000.0,10000.0,2025-02-01 03:25:00
1738380600000.0,10000.0,2025-02-01 03:30:00
1738380900000.0,10000.0,2025-02-01 03:35:00
1738381200000.0,10000.0,2025-02-01 03:40:00
1738381500000.0,10000.0,2025-02-01 03:45:00
1738381800000.0,10000.0,2025-02-01 03:50:00
1738382100000.0,10000.0,2025-02-01 03:55:00
1738382400000.0,10000.0,2025-02-01 04:00:00
1738382700000.0,10000.0,2025-02-01 04:05:00
1738383000000.0,10000.0,2025-02-01 04:10:00
1738383300000.0,10000.0,2025-02-01 04:15:00
1738383600000.0,10000.0,2025-02-01 04:20:00
1738383900000.0,10000.0,2025-02-01 04:25:00
1738384200000.0,10000.0,2025-02-01 04:30:00
1738384500000.0,10000.0,2025-02-01 04:35:00
1738384800000.0,10000.0,2025-02-01 04:40:00
1738385100000.0,10000.0,2025-02-01 04:45:00
1738385400000.0,10000.0,2025-02-01 04:50:00
1738385700000.0,10000.0,2025-02-01 04:55:00
1738386000000.0,10000.0,2025-02-01 05:00:00
1738386300000.0,10000.0,2025-02-01 05:05:00
1738386600000.0,10000.0,2025-02-01 05:10:00
1738386900000.0,10000.0,2025-02-01 05:15:00
1738387200000.0,10000.0,2025-02-01 05:20:00
1738387500000.0,10000.0,2025-02-01 05:25:00
1738387800000.0,10000.0,2025-02-01 05:30:00
1738388100000.0,10000.0,2025-02-01 05:35:00
1738388400000.0,10000.0,2025-02-01 05:40:00
1738388700000.0,10000.0,2025-02-01 05:45:00
